,offer_id,offer_type,adv_id,contractCode,kunlun_code,supid,traffic,country,created,type,adv_currency,revenue,t1,t2,outcome_dollar,cost,t3,t4
0,vse,OFLX_GA,SD2022062653,CS2022055646,,,,IN,20230202000000,JSXMLX_1,USD,1447800,0,0,,0,0,0
1,pdw,OFLX_GA,S0223,CS2021081831,G103678,YMCS201809008,,TW,20230202000000,JSXMLX_1,USD,21600,0,0,USD,65,0,0
2,sed,OFLX_GA,SD2022083252,CS2022087145,,,,RU,20230202000000,JSXMLX_1,USD,160000,0,0,,0,0,0
3,cec,OFLX_GA,SD202109830,CS2021092134,,,,US,20230202000000,JSXMLX_1,USD,3332000,0,0,,0,0,0
4,adc,OFLX_GA,SD2022031939,CS2022024415,,,,MX,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
5,adb,OFLX_GA,SD2022052486,CS2022055464,,,,KR,20230202000000,JSXMLX_1,USD,7000,0,0,,0,0,0
6,acb,OFLX_GA,SD2022082998,CS2022076660,,,,KR,20230202000000,JSXMLX_1,USD,33000,0,0,,0,0,0
7,mvt2,OFLX_GA,S0054,CS2022087122,112114,PCS2020070001,,BR,20230202000000,JSXMLX_1,USD,77500,0,0,USD,1400,0,0
8,tic,OFLX_GA,SD2022082989,CS2022086909,,,,ID,20230202000000,JSXMLX_1,USD,296400,0,0,,0,0,0
9,inm,OFLX_GA,S0238,CS2022118352,,,,SA,20230202000000,JSXMLX_1,USD,40000,0,0,,0,0,0
11,rcm,OFLX_GA,S0095,CS2022045182,,,,KR,20230202000000,JSXMLX_1,USD,4000,0,0,,0,0,0
12,mpa,OFLX_GA,SD2022062528,CS2022055462,,,,AU,20230202000000,JSXMLX_1,USD,3000,0,0,,0,0,0
13,jsd,OFLX_GA,S0239,CS2021092333,,,,TH,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
14,mpa,OFLX_GA,SD2022062528,CS2022055462,109309,PCL20210108875,,PH,20230202000000,JSXMLX_1,USD,1000,0,0,USD,0,0,0
15,fom,OFLX_GA,SD2022062720,CS2022066024,,,,IN,20230202000000,JSXMLX_1,USD,70000,0,0,,0,0,0
16,mpa,OFLX_GA,SD2022062528,CS2022055462,112114,PCS2020070001,,DE,20230202000000,JSXMLX_1,USD,3000,0,0,USD,0,0,0
